City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
502,Mingaora,PK,81.16,broken clouds,34.7758,72.3625,Burj Al Swat
503,Zambezi,ZM,88.59,clear sky,-13.5432,23.1047,Royal Kutachika Lodge
504,Junnar,IN,75.36,broken clouds,19.2,73.8833,Hotel Anand
505,Ilesha,NG,76.91,overcast clouds,7.1371,5.2583,Tosap Guest House
509,Srandakan,ID,77.34,clear sky,-7.9386,110.2506,Puri Brata
512,Lethem,GY,82.08,scattered clouds,3.3803,-59.7968,Savannah Inn
513,Praia,CV,84.74,few clouds,14.9215,-23.5087,LT Aparthotel
514,Luang Prabang,LA,78.39,broken clouds,19.8856,102.1347,Villa Oasis
517,Nishihara,JP,83.86,light rain,26.1842,127.7558,Minshuku Agaihama
522,Xihua,CN,79.03,clear sky,33.7833,114.5167,Home Inn
524,Nanakuli,US,76.95,few clouds,21.3906,-158.1547,Camp Pālehua
527,Bocanda,CI,89.83,overcast clouds,7.0626,-4.4995,Hôtel les Résidences Mohyé
529,Srbac,BA,94.26,scattered clouds,45.0978,17.525,Motel Hrast
531,Muroto,JP,81.09,clear sky,33.2833,134.15,Oota Ryokan
532,Tucupita,VE,85.41,broken clouds,9.0622,-62.051,Hotel Tucupita Su​ite C.A.
533,Nantucket,US,81.09,clear sky,41.2835,-70.0995,Jared Coffin House
534,Sigli,ID,81.36,overcast clouds,5.3848,95.9609,Losmen Dua Mali
537,Rwamagana,RW,80.04,broken clouds,-1.9487,30.4347,Avega East Hostel
