City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
229,Ubala,CO,2021-08-06 23:48:47,4.7478,-72.5369,72.79,86,12,3.62
230,Aktas,KZ,2021-08-06 23:48:47,49.7789,72.9608,49.75,41,2,7.36
231,Haapsalu,EE,2021-08-06 23:48:47,58.9431,23.5414,59.02,83,100,16.08
232,Czarnkow,PL,2021-08-06 23:48:48,52.9021,16.5641,58.24,81,79,4.9
233,Chernyshevskiy,RU,2021-08-06 23:48:48,63.0128,112.4714,59.38,48,2,7.29
234,Oussouye,SN,2021-08-06 23:48:48,12.485,-16.5469,80.69,83,97,12.48
235,Majene,ID,2021-08-06 23:48:49,-3.5403,118.9707,79.45,82,93,11.65
236,Calabozo,VE,2021-08-06 23:48:49,8.9242,-67.4293,76.12,81,71,0.98
237,Cayenne,GF,2021-08-06 23:39:19,4.9333,-52.3333,80.1,87,90,1.01
238,Rincon,US,2021-08-06 23:48:50,32.296,-81.2354,80.85,91,90,4.61
239,Ndende,GA,2021-08-06 23:48:50,-2.4008,11.3581,72.37,85,94,4.68
240,Tanout,NE,2021-08-06 23:48:50,14.9709,8.8879,87.53,46,52,20.96
241,Ngunguru,NZ,2021-08-06 23:48:50,-35.6167,174.5,62.17,69,68,15.97
242,Lebork,PL,2021-08-06 23:48:51,54.5392,17.7501,61.92,90,100,4.05
243,Aljezur,PT,2021-08-06 23:48:51,37.3191,-8.8033,62.92,92,0,7.45
244,Port Hardy,CA,2021-08-06 23:41:24,50.6996,-127.4199,55.58,100,90,6.91
245,Katsuura,JP,2021-08-06 23:41:34,35.1333,140.3,85.19,85,97,9.4
246,Athy,IE,2021-08-06 23:48:52,52.9914,-6.9803,58.48,95,100,6.51
247,Mulchen,CL,2021-08-06 23:48:52,-37.7167,-72.2333,46.81,94,100,3.67
248,Vrontados,GR,2021-08-06 23:48:53,38.4089,26.1328,82.26,42,0,5.75
249,Matai,TZ,2021-08-06 23:48:53,-8.3,31.5167,57.56,60,4,5.19
250,Ankang,CN,2021-08-06 23:48:54,32.68,109.0172,76.24,88,100,1.74
251,East Wenatchee Bench,US,2021-08-06 23:48:54,47.4257,-120.2812,87.31,31,1,8.01
252,Faanui,PF,2021-08-06 23:39:59,-16.4833,-151.75,78.91,69,24,9.66
253,Buraydah,SA,2021-08-06 23:48:55,26.326,43.975,88.25,14,73,4.72
254,La Ronge,CA,2021-08-06 23:41:45,55.1001,-105.2842,73.65,64,40,10.36
255,Muros,ES,2021-08-06 23:48:55,42.7762,-9.0603,63.99,92,66,8.41
256,Colares,PT,2021-08-06 23:48:56,38.7992,-9.4469,69.3,69,31,5.99
257,Poum,NC,2021-08-06 23:39:32,-20.2333,164.0167,68.77,61,92,4.72
258,Samarai,PG,2021-08-06 23:48:56,-10.6167,150.6667,78.3,78,97,12.46
259,Raudeberg,NO,2021-08-06 23:48:57,61.9875,5.1352,63.95,69,74,7.83
260,Merauke,ID,2021-08-06 23:48:57,-8.4667,140.3333,77.38,77,100,14.38
261,Nova Granada,BR,2021-08-06 23:48:58,-20.5339,-49.3142,75.45,42,100,9.31
262,Hulshout,BE,2021-08-06 23:48:58,51.0757,4.7945,62.04,89,42,7.0
263,Tagusao,PH,2021-08-06 23:48:59,9.1924,117.8141,82.44,72,96,3.47
264,Lumsden,CA,2021-08-06 23:48:59,50.6501,-104.8678,86.97,40,90,11.81
265,Arkadelphia,US,2021-08-06 23:48:59,34.1209,-93.0538,89.37,51,1,3.44
266,Orlik,RU,2021-08-06 23:49:00,52.5178,99.825,53.69,87,100,6.33
267,Portland,US,2021-08-06 23:46:22,45.5234,-122.6762,82.53,60,75,1.01
268,Windsor,CA,2021-08-06 23:44:10,42.3001,-83.0165,83.03,54,40,1.99
269,Makat,KZ,2021-08-06 23:40:44,47.6469,53.3463,77.02,31,5,10.38
270,Hajan,IN,2021-08-06 23:49:00,34.3,74.6167,60.85,75,4,1.99
271,Shuyskoye,RU,2021-08-06 23:49:01,59.3736,41.0305,55.0,95,100,6.6
272,Fort Nelson,CA,2021-08-06 23:40:54,58.8053,-122.7002,63.99,77,90,11.5
